model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,time_ms_mean,time_ms_std
ann,0.9783038248326517,0.006097169761946217,0.9609190525750764,0.01160248814333183,0.9947396581340993,0.004287613134864303,0.9775029317006002,0.006200699111378048,7633.406639099121,390.36401997208253
logistic_regression,0.9455895273793796,0.0067297503629567,0.9013307528817311,0.011416268787137095,0.9939877784348511,0.003364874612044076,0.9453625907791381,0.006502112136467764,6.231784820556641,1.8940661896549176
naive_bayes,0.9676358855394651,0.007386886015704777,0.944188462714582,0.011109684885916842,0.9902283799386107,0.004291315196763894,0.9666454991236009,0.007520968089122441,2.283954620361328,0.47493653000630665
svm,0.9455888952801148,0.006737342403505005,0.9029336311271731,0.009984591332748134,0.9917321393371068,0.0031503893904219187,0.94523691297598,0.006600167786539936,24.410533905029297,6.532607631672912
