model,accuracy,precision,recall,f1_score,time_ms
ann,0.9834123222748815,0.9800498753117207,0.9849624060150376,0.9825,28496.785879135132
svm,0.933649289099526,0.8871331828442438,0.9849624060150376,0.9334916864608076,18.682003021240234
logistic_regression,0.9348341232227488,0.8873873873873874,0.9874686716791979,0.9347568208778173,5.125522613525391
naive_bayes,0.9632701421800948,0.9423076923076923,0.9824561403508771,0.9619631901840491,1.8532276153564453
